GT	LLAMA3-8B	LLAMA3-8B-Article-model
Lazarus	APT32	APT32
Lazarus	X	Lazarus
Turla	X	X
Turla	X	X
APT28	Fancy Bear	APT28
White Bear	Sofacy group	Sofacy group
CopyKittens	X	X
Winter Wivern	TA505	TA505
Winter Wivern	OilRig	OilRig
Andariel	Kimsuky group	Kimsuky group
Andariel	Lazarus	Lazarus
APT29	Nobelium	Nobelium
APT41	X	X
APT41	APT10	APT10
TA505	X	X
MuddyWater	X	X
MuddyWater	X	X
MuddyWater	APT34	APT34
DarkHotel	Lazarus	Lazarus
DarkHotel	X	DarkHotel
MUSTANG PANDA	Mustang Panda	Mustang Panda
MUSTANG PANDA	Mustang Panda	Mustang Panda
Sandworm	X	X
Sandworm	X	X
Kimsuky	Lazarus	Lazarus
Kimsuky	X	X
Kimsuky	X	X
BlackTech	DarkHotel	DarkHotel
BlackTech	APT37	APT37
APT-C-35	DoNot Team	DoNot Team
Equation Group	Equation Group	Equation Group
Equation Group	APT3	APT3
Dark Caracal	cyber-mercenary	cyber-mercenary
Dark Caracal	X	X
Gaza cybergang	Molerats	Molerats
Gaza cybergang	X	X
Gaza cybergang	Gaza Cybergang	Gaza Cybergang
Arid Viper	APT-C23	APT-C23
Arid Viper	Earth Bent	Earth Bent
Polonium	APT29	APT29
Polonium	APT33	APT33
Polonium	UNC2452	UNC2452
Lazarus group	Lazarus	Lazarus
APT33	CloudSiren	CloudSiren
Platinum	Platinum group	Platinum group
TA413	Charming Kitten	Charming Kitten
LuckyCat	X	X
Elderwood gang	LuckyCat	LuckyCat
APT41	Lazarus	Lazarus
Conti	X	X
Wizard Spider	X	X
APT5	AstraLux	AstraLux
Winnti	APT38	APT38
Lamberts	APT28	APT28
DarkHotel APT	DarkHotel	DarkHotel
APT1	X	X
Winnti Group (A41)	A41	A41
LockFile	REvil	REvil
Dark Tropic Trooper	APT41	APT41
Turla	X	X
Turla	APT28	APT28
Turla	Fancy Bear	Fancy Bear
APT37	APT37	APT37
Lazarus	Lazarus	Lazarus
GoldBackdoor	APT31	APT31
SOGU	APT41	APT41
Stately Taurus	APT10	APT10
MuddyWater APT	OilRig	OilRig
ShadowPad	X	X
Chinese APT	Tsunami	Tsunami
Dragonfly	Energetic Bear	Dragonfly
Lazarus	FIN7	FIN7
APT34	APT28	APT28
A122	X	X
